title,description,expected category,expected priority,expected resolver_team,actual category,actual priority,actual resolver_team,reason,category same T/F,resolver same T/F
How can I use Docker without sudo?,"On Docker's documentation pages, all example commands are shown without
sudo
, like this one:
docker ps
On Ubuntu, the binary is called
docker.io
. It also does not work without
sudo
:
sudo docker.io ps
How can I configure Docker so that I don't need to prefix every Docker command with
sudo
?",package management,,system support,user accounts,4,system support,Add user to the docker group and restart your session; grants permission to run Docker commands without sudo,False,True
Unable to lock the administration directory (/var/lib/dpkg/) is another process using it?,"I get this error when trying to use
apt-get
:
E: Could not get lock /var/lib/dpkg/lock - open (11 Resource temporarily unavailable)
E: Unable to lock the administration directory (/var/lib/dpkg/) is another process using it?
How can I fix this?",package management,,system support,package management,2,system support,Another process holds /var/lib/dpkg/lock preventing apt from running; check for running apt or dpkg processes and wait or stop them; only remove lock file if no process is running,True,True
How can I update my nodeJS to the latest version?,"I have installed nodeJS on Ubuntu with following code
sudo apt-get install nodejs
Since I am a new user for ubuntu I also ran this code too
sudo apt-get install npm
Now when I type
nodejs --version
It shows
v0.6.19
I checked and saw latest nodeJS version is
0.10.26
How can I update my version of nodeJS to
0.10.26
?
I tried with
sudo apt-get install
sudo apt-get install --only-upgrade
but no luck.",package management,,system support,package management,4,system support,Apt provides an older nodejs package; user needs instructions to install node v0.10.26 via updated repository or nvm,True,True
How to upgrade a single package using apt-get?,"How do I update a single package? As far as
man apt-get
says
apt-get upgrade
doesn't take a package/list of packages as parameter:
upgrade
upgrade is used to install the newest versions of all packages
  currently installed on the system from the sources enumerated in
/etc/apt/sources.list
. Packages currently installed with new
  versions available are retrieved and upgraded; under no circumstances
  are currently installed packages removed, or packages not already
  installed retrieved and installed. New versions of currently installed
  packages that cannot be upgraded without changing the install status
  of another package will be left at their current version. An update
  must be performed first so that apt-get knows that new versions of
  packages are available.",package management,,system support,package management,4,system support,User asking how to upgrade a single package with apt-get; informational request,True,True
"Is there a command to list all users? Also to add, delete, modify users, in the terminal?","I need a command to list all users as well as commands to add, delete and modify users from terminal - any commands that could help in administrating user accounts easily by terminal.",user accounts,,system support,user accounts,4,system support,Request for terminal commands to list add delete and modify user accounts,True,True
How to keep processes running after ending ssh session?,Let's say I launch a bunch of processes from a ssh session. Is it possible to terminate the ssh session while keeping those processes running on the remote machine?,general usage,,general support,general usage,4,system support,User asks how to keep processes running after terminating an SSH session; needs guidance on tools like nohup screen tmux disown and systemd-run,True,False
How do I uncompress a tarball that uses .xz?,"I'm used to extracting tarballs with a
-xfz
flag, which handles gzip and bzip2 archives.
Recently I've run into a
.tar.xz
file and I would like to uncompress it in one step using
tar
, how can I do that?",general usage,,general support,general usage,4,general support,User asks how to extract a .tar.xz file with tar in one step; needs command line usage guidance,True,True
How can I add a user as a new sudoer using the command line?,"After I add a user using
adduser
, I can't see it via
System > Administration > Users and Groups
unless I log out and then log in again. Is that normal?
Also, can I set a newly added user as a
sudo
er or do I have to change that only after adding it? How can I do that via the shell?
Finally, can I delete the original user that was created upon initial installation of Ubuntu, or is this user somehow 'special'?",user accounts,,system support,user accounts,4,system support,Questions about adding a user as sudoer via shell; GUI not showing new user until relogin; asking if initial installation user can be deleted,True,True
How to add a directory to the PATH?,"How do I add a directory to the
$PATH
in Ubuntu and make the changes permanent?",system settings,,desktop support,system settings,4,system support,User asks how to permanently add a directory to PATH in Ubuntu,True,False
How to extract files to another directory using 'tar' command?,"I thought
tar archive.tar /users/mylocation
would work, but it doesn't. How can I do that?",general usage,,general support,general usage,4,general support,How to extract tar archive to a specific directory; user needs command syntax and options,True,True
How do I shut down or reboot from a terminal?,How can I shut down or reboot Ubuntu using terminal commands?,general usage,,general support,general usage,4,general support,User asking how to shut down or reboot Ubuntu from a terminal; informational request,True,True
"Error message ""sudo: unable to resolve host (none)""","When I run
sudo
the terminal is stuck for a few seconds and then outputs an error message. My terminal looks like this:
ubuntu@(none):~$ sudo true
sudo: unable to resolve host (none)
What can I do to solve it?",general usage,,general support,system settings,4,system support,Local hostname not present or mismatched in /etc/hosts causing sudo to report unable to resolve host; requires updating /etc/hosts or /etc/hostname,False,False
How to get bash or ssh into a running container in background mode?,"I want to ssh or bash into a running docker container. Please, see example:
$ sudo docker run -d webserver
webserver is clean image from ubuntu:14.04
$ sudo docker ps
CONTAINER ID  IMAGE            COMMAND    CREATED STATUS  PORTS          NAMES
665b4a1e17b6  webserver:latest /bin/bash  ...     ...     22/tcp, 80/tcp loving_heisenberg
Now I want to get something like this (go into the running container):
$ sudo docker run -t -i webserver
(or maybe
665b4a1e17b6
instead)
$ root@665b4a1e17b6:/#
However when I run the line above I get new CONTAINER ID:
$ root@42f1e37bd0e5:/#
I used Vagrant and I'd like to get a  similar behaviour as
vagrant ssh
.",general usage,,general support,general usage,4,system support,How to open an interactive shell in a running Docker container; recommend using docker exec -it CONTAINER /bin/bash or docker attach depending on needs,True,False
How to enable or disable services?,"I read about how to enable and disable services in Ubuntu and it seems that there are different possibilities to manage them.
The first method I found is
update-rc.d
to add new services to startup, which aims on the
/etc/init.d
folder and its contents.
The other one I found is to edit
.conf
files in the
/etc/init
folder.
What's the recommended way to enable / disable / add services and why?
Could you please give a short bulletproof step by step example on how to add a service in Ubuntu and enable and disable it?",general usage,,general support,system settings,4,system support,Request for recommended method and a bulletproof step by step example to add enable and disable services in Ubuntu,False,False
Find and replace text within a file using commands,How can I find and replace specific words in a text file using command line?,general usage,,general support,general usage,4,system support,User asks how to find and replace text in a file using command line; provide examples and guidance using tools like sed awk and grep,True,False
How can I recursively delete all files of a specific extension in the current directory?,"How do I safely delete all files with a specific extension (e.g.
.bak
) from current directory and all subfolders using one command-line? Simply, I'm afraid to use
rm
since I used it wrong once and now I need advice.",general usage,,general support,general usage,4,system support,Request for safe command line method to recursively delete files by extension; user seeks instructions and precautions,True,False
How to add existing user to an existing group?,"I want to add the Apache user (
www-data
) to the
audio
group. I've read the man page for
useradd
, but I'm not having any luck. I'm running xubuntu 11.10. Here's what I'm doing:
$ sudo useradd -G audio www-data
useradd: user 'www-data' already exists
If I leave out the
-G
option, bash, prints the help info for
useradd
:
$ sudo useradd  audio www-data
Usage: useradd [options] LOGIN
Options: -b, --base-dir BASE_DIR       base directory for the home directory...
It's not clear to me from the man page what options I should use to make this work.",user accounts,,system support,user accounts,3,system support,Add existing user to existing group; use usermod -aG audio www-data or adduser www-data audio,True,True
How do I search for available packages from the command-line?,"I have successfully installed some packages using the command:
sudo apt-get install packagename
when I have known in advance that those packages are available.  But how can I search for or get a list of what is available in the repositories?",package management,,system support,package management,4,system support,Request for command line methods to search and list available repository packages using apt or apt-cache,True,True
How to install updates via command line?,"When I log into my web server via SSH I see the information:
88 packages can be updated.
80 updates are security updates
I tried
apt-get update
then
apt-get upgrade
but each time I log in I still see the message about updates. How do I install them?",package management,,system support,package management,4,system support,User needs help installing apt updates via command line; apt-get upgrade may not apply kernel or packages requiring removals; recommend apt update then apt full-upgrade and reboot,True,True
How to increment a variable in bash?,"I have tried to increment a numeric variable using both
var=$var+1
and
var=($var+1)
without success. The variable is a number, though bash appears to be reading it as a string.
Bash version 4.2.45(1)-release (x86_64-pc-linux-gnu) on Ubuntu 13.10.",general usage,,general support,general usage,4,system support,Asking how to increment a numeric bash variable; needs guidance on arithmetic expansion and correct syntax,True,False
How do you monitor the progress of dd?,"dd
is a wonder. It lets you duplicate a hard drive to another, completely zero a hard drive, etc. But once you launch a
dd
command, there's nothing to tell you of its progress. It just sits there at the cursor until the command finally finishes. So how does one monitor dd's progress?",system performance,,system support,general usage,4,system support,Asking how to monitor dd progress and view transfer rate and completion status,False,True
What is the difference between apt and apt-get?,"I read about the new fancy progress bar which was added to
apt
1.0 in
Softpedia
and how to enable it
here
. However on running
sudo apt-get update
, I did not see the fancy progress bars. On reading the second link again, the solution explicitly requires you to use
sudo apt update
.
Hence my question is the difference between
apt
and
apt-get
. I thought they were one and the same.",package management,,system support,package management,4,system support,Question about differences between apt and apt-get and why progress bar appears only with apt; package management feature inquiry,True,True
Command for determining my public IP?,"If I check with
google
, I can see my public IP. Is there something on the Ubuntu command-line which will yield me the same answer?",networking,,network support,networking,4,network support,User requests a command to determine public IP from the Ubuntu command line; informational request,True,True
How can I reduce the file size of a scanned PDF file?,"I have a 72.9 MB PDF file that I need to shrink to 500 KB or below.
The file was a JPEG image that I had scanned and then converted to PDF.",general usage,,general support,general usage,4,desktop support,Scanned JPEG converted to PDF is 72.9 MB and user needs guidance to compress it below 500 KB,True,False
How do I find the amount of free space on my hard drive?,"Is there a way to quickly check the amount of free / used disk space in Ubuntu?
I would assume you could right click on 'file system' in the file browser and choose 'properties' or something but there is no such option.",system performance,,system support,general usage,4,desktop support,User asks how to check free and used disk space in Ubuntu file browser properties missing,False,False
How do I rename a directory via the command line?,"I have got the directory
/home/user/oldname
and I want to rename it to
/home/user/newname
. How can I do this in a terminal?",general usage,,general support,general usage,4,general support,Instruct user to use mv command to rename directory; show example mv /home/user/oldname /home/user/newname; note that target must not exist and user needs write permission,True,True
How do I reset a lost administrative password?,"I'm working on a Ubuntu system, and my client has completely forgotten his administrative password. He doesn't even remember entering one; however it is there.
I've tried the suggestions on the website, and I have been unsuccessful in deleting the password so that I can download applets required for running some files. Is there a solution?",user accounts,,system support,user accounts,2,system support,User cannot perform admin tasks on Ubuntu due to lost administrative password; needs password reset to install applets,True,True
How do I find the package that provides a file?,"Simple enough question: is there some shell command (or GUI method) I can use that, given the path to a file on my system, tells me what package put it there? Assuming the file did in fact come from a package, that is.
Bonus question: what if it's a file that isn't installed on my system? Is there, say, a website that will let me look up a file and see what packages, if any, provide it?",package management,,system support,package management,4,system support,User asks how to identify which package provides a given file and how to search packages for files not installed,True,True
How can I extract a page range / a part of a PDF?,"Do you have any idea how to extract a part of a PDF document and save it as PDF?
On OS X it is absolutely trivial by using Preview. I tried PDF editor and other programs but to no avail.
I would like a program where I select the part that I want and then save it as a PDF file with a simple command like
CMD
+
N
on OS X. I want the extracted part to be saved as PDF and not as JPEG, etc.",general usage,,general support,general usage,4,desktop support,User asks how to extract pages from a PDF on OS X and save as PDF; wants a simple GUI workflow like Preview and a keyboard shortcut,True,False
How to delete a non-empty directory in Terminal?,"How do I delete the following directory?
I typed:
rmdir lampp
This error comes up:
rmdir: failed to remove `lampp': Directory not empty
Is there a command to delete all the files in the directory and delete the directory folder?",general usage,,general support,general usage,4,system support,User asks how to delete a non empty directory in Terminal; needs recursive remove command such as rm -r,True,False
Change folder permissions and ownership,"I would like the user to have full rights on this folder (as well as all sub-directories and files in it):
~/.blabla
currently owned by root.
I have found numerous posts (in this forum and elsewhere) on how to do this for files but I can't find a way to do it for whole folders.",general usage,,general support,system settings,4,system support,Give user full ownership and permissions recursively on ~/.blabla currently owned by root,False,False
How to check Internet Speed via Terminal?,"Instead of going to sites like
speedtest.net
, I want to check my current Internet speed from the terminal on Ubuntu. How can I do it?",networking,,network support,networking,4,network support,User wants to measure internet speed from the Ubuntu terminal; requests guidance on command line tools and commands,True,True
How to run scripts on start up?,"How can I run scripts
automatically
when Ubuntu starts up so I don't have to run them manually after startup?",system settings,,desktop support,system settings,4,system support,User requests how to run scripts automatically at Ubuntu startup,True,False
What is the correct way to completely remove an application?,"I've searched the net for such information and found different command lines, like these ones:
sudo apt-get remove application
sudo apt-get remove application*

sudo apt-get remove --purge application
sudo apt-get remove --purge application*

sudo apt-get purge application
sudo apt-get purge application*
So, what is the correct way? Is it necessary to use that ""*""?
After that, I also found these commands:
sudo updatedb
sudo locate application
sudo rm -rf (file/folder name)",package management,,system support,package management,4,system support,Question about how to completely remove packages using apt; asks if wildcard is needed and about using locate and rm for leftover files,True,True
How do I get the CPU temperature?,How do I get the CPU temperature?,system performance,,system support,system performance,4,system support,User asks how to check CPU temperature; informational request,True,True
What should I do when Ubuntu freezes?,"All operating systems freeze sometimes, and Ubuntu is no exception. What should I do to regain control when...
just one program stops responding?
nothing at all responds to mouse clicks or key presses?
the mouse stops moving entirely?
I have an
Intel Bay Trail CPU?
In what order should I try various solutions before deciding to pull the power plug?
What should I do when starting up Ubuntu fails?  Is there a diagnostic procedure I can follow?",system performance,,system support,system performance,4,desktop support,How to recover from and diagnose Ubuntu freezes and failed startups; covers single program hangs system wide unresponsiveness mouse not moving and Bay Trail CPU issues,True,False
How do I remove old kernel versions to clean up the boot menu?,"Every time I install a new Linux kernel, it gets left in the grub_config, making the boot menu longer each time.
I know I can manually search through the installed packages and remove them.
Does Ubuntu provide any easier way to clean them up or keep them from showing in the boot list?",installation,,installation support,package management,4,system support,Remove old kernel packages to prune grub entries; user asks for easier Ubuntu methods like apt autoremove and apt purge of linux-image packages,False,False
How to make 'python' program command execute Python 3?,"The
python
program command executes Python 2. Python 3 can be executed using the
python3
command.  How can Python 3 be executed using the
python
command?",general usage,,general support,system settings,4,system support,Set system default python to python3 by updating the python symlink or using update-alternatives; steps vary by distribution,False,False
What Application Indicators are available?,"This question exists because it has historical significance, but
it is not considered a good, on-topic question for this site,
so please do not use it as evidence that you can ask similar questions here.  While you are encouraged to help maintain its answers, please understand that ""big list"" questions are not generally allowed on Ask Ubuntu and will be closed per the
help center
.
I installed Ubuntu 11.04 on one of my systems and I am using the Unity interface. Unity is working quite well so far but I really miss panel applets for net speed, cpu temp, and system monitor.
These applets are useful for viewing quick info. Unlike 10.10, there is no other way to get this info onto the panel or unity launcher. There are solutions like screenlets and conky but they don't feel appropriate for a clean desktop look.
If you know one then please list out any third party indicators with links so that they can be found.",system settings,,desktop support,general usage,4,desktop support,User asks which third party application indicators are available for Unity to replace missing panel applets; desktop usage question about system indicators,False,True
How can I decode a base64 string from the command line?,"I would like to write a bash script to decode a base64 string. For example I type
decode QWxhZGRpbjpvcGVuIHNlc2FtZQ==
and it prints
Aladdin:open sesame
and returns to the prompt.
So far I have tried a simple bash file containing
python -m base64 -d $1
but this command expects a filename not a string. Is there another non-interactive command (not necessarily in a Python module) that I can run from the command line to achieve this, without having to install any extra packages? (Or if I do, something super-minimal.)",general usage,,general support,general usage,4,general support,Request to decode base64 strings from the command line for a bash script; non urgent usage question,True,True
"What does ""sudo apt-get update"" do?","I am wondering what
sudo apt-get update
does?
What does it update?",package management,,system support,package management,4,system support,Asks what apt-get update does; refreshes local package index from configured repositories; does not install or upgrade packages,True,True
How do I install a .tar.gz (or .tar.bz2) file?,I have downloaded tar.gz files. But I don't know how to install it. How do I install this kind of file?,package management,,system support,installation,4,installation support,User asks how to install software from tar.gz or tar.bz2 archives; needs extraction and build or package manager instructions,False,False
How do I check which shell I am using?,"I read that terminal is nothing but shell, and Unix provides different flavors of shells:
Bourne shell (sh)
C shell (csh)
TC shell (tcsh)
Korn shell (ksh)
Bourne Again shell (bash)
Questions:
When I open a terminal window, which shell is opened by default?
How do I check how many shells are installed?
How do I change the shell used from my account?",general usage,,general support,user accounts,4,system support,User asks how to check current shell; how to list installed shells; how to change login shell for their account,False,False
How to display network traffic in the terminal?,"how to display the actual network traffic (wireless) in a terminal?
Additionally: Is it possible to add this info to the chart of
top
?",networking,,network support,networking,4,network support,How to display live wireless network traffic in a terminal; whether this info can be added to top chart,True,True
How do I add environment variables?,"I'm running Ubuntu 11.04. I use the terminal to start a bash session, and I want to add an environment variable:
$r@hajt:~$ env THEVAR=/example
But it's not working. It shows all the variables with THEVAR being the last one, but another call to
env
does not show
THEVAR
anymore-
env | grep THEVAR
returns nothing.
Similarly, scripts with export (
export THEVAR=/example
) or other variable assignments (
THEVAR=/example
) don't add the environment variable.
I know I'm doing something wrong, I know it should be something simple, but I just can't find what.
UPDATE:
The real meaning of my question was this one:
Can a shell script set environment variables of the calling shell?
(Anyway I'll choose the most voted answer and leave the edited title -that wasn't what I was asking)
env
runs a program in a modified environment, then dismisses all the changes.",general usage,,general support,general usage,4,system support,Question about setting and exporting environment variables; asks if a script can modify the calling shell environment,True,False
How do I resolve unmet dependencies after adding a PPA?,"Occasionally, when I'm installing stuff, I get an error like the following:
Some packages could not be installed. This may mean that you have
requested an impossible situation or if you are using the unstable
distribution that some required packages have not yet been created
or been moved out of Incoming.
The following information may help to resolve the situation:

The following packages have unmet dependencies:
 package1 : Depends: package2 (>= 1.8) but 1.7.5-1ubuntu1 is to be installed
E: Unable to correct problems, you have held broken packages.
How can I resolve this?",package management,,system support,package management,4,system support,APT unmet dependencies after adding a PPA; held broken packages preventing installation,True,True
How do I free up more space in /boot?,"My
/boot
partition is nearly full and I get a warning every time I reboot my system. I already deleted old kernel packages (linux-headers...), actually I did that to install a newer kernel version that came with the automatic updates.
After installing that new version, the partition is nearly full again. So what else can I delete? Are there some other files associated to the old kernel images?
Here is a list of files that are on my
/boot
partition:
:~$ ls /boot/
abi-2.6.31-21-generic         lost+found
abi-2.6.32-25-generic         memtest86+.bin
abi-2.6.38-10-generic         memtest86+_multiboot.bin
abi-2.6.38-11-generic         System.map-2.6.31-21-generic
abi-2.6.38-12-generic         System.map-2.6.32-25-generic
abi-2.6.38-8-generic          System.map-2.6.38-10-generic
abi-3.0.0-12-generic          System.map-2.6.38-11-generic
abi-3.0.0-13-generic          System.map-2.6.38-12-generic
abi-3.0.0-14-generic          System.map-2.6.38-8-generic
boot                          System.map-3.0.0-12-generic
config-2.6.31-21-generic      System.map-3.0.0-13-generic
config-2.6.32-25-generic      System.map-3.0.0-14-generic
config-2.6.38-10-generic      vmcoreinfo-2.6.31-21-generic
config-2.6.38-11-generic      vmcoreinfo-2.6.32-25-generic
config-2.6.38-12-generic      vmcoreinfo-2.6.38-10-generic
config-2.6.38-8-generic       vmcoreinfo-2.6.38-11-generic
config-3.0.0-12-generic       vmcoreinfo-2.6.38-12-generic
config-3.0.0-13-generic       vmcoreinfo-2.6.38-8-generic
config-3.0.0-14-generic       vmcoreinfo-3.0.0-12-generic
extlinux                      vmcoreinfo-3.0.0-13-generic
grub                          vmcoreinfo-3.0.0-14-generic
initrd.img-2.6.31-21-generic  vmlinuz-2.6.31-21-generic
initrd.img-2.6.32-25-generic  vmlinuz-2.6.32-25-generic
initrd.img-2.6.38-10-generic  vmlinuz-2.6.38-10-generic
initrd.img-2.6.38-11-generic  vmlinuz-2.6.38-11-generic
initrd.img-2.6.38-12-generic  vmlinuz-2.6.38-12-generic
initrd.img-2.6.38-8-generic   vmlinuz-2.6.38-8-generic
initrd.img-3.0.0-12-generic   vmlinuz-3.0.0-12-generic
initrd.img-3.0.0-13-generic   vmlinuz-3.0.0-13-generic
initrd.img-3.0.0-14-generic   vmlinuz-3.0.0-14-generic
Currently, I'm using the
3.0.0-14-generic
kernel.",general usage,,general support,package management,4,system support,Leftover kernel images and initrd files filling /boot; user needs guidance to remove unused kernels and clean boot files,False,False
How to create a soft or symbolic link?,"I am installing p4v in
/opt
, but
/usr/bin
is on my path.  Is it possible to create a soft or symbolic link for p4v from
/opt
to
/usr/bin
, so I can just type ""p4v"" since
/usr/bin
is in my path?",general usage,,general support,installation,4,system support,User asks how to create a symbolic link for p4v from /opt to /usr/bin so the executable is available in PATH,False,False
How do I set up a Cron job?,"I want to schedule a task to run on a regular basis and have heard that Cron is the way to do this.
How do I add Cron jobs in Ubuntu?",system settings,,desktop support,system settings,4,system support,Request for instructions to add and schedule cron jobs in Ubuntu,True,False
How can I record my screen?,"How can I record my screen on Ubuntu?
The app I'm looking for has ideally all of these features:
Can record in a format that can be played back easily on any platform and/or accepted by YouTube or another popular video site
Can record just a window (instead of the whole screen), possibly selecting it with a mouse click
Can start recording after a configurable delay (e.g., I launch the app and have time to do arrangements to my desktop/window before actual recording starts)",general usage,,general support,general usage,4,desktop support,Guidance requested for screen recording on Ubuntu; needs window capture delayed start and widely playable output formats,True,False
How to list all enabled services from systemctl?,"How can I list all
enabled
services from
systemctl
?
I know running
systemctl
command by itself lists all services, but I would like to only get the
enabled
ones.",system settings,,desktop support,system settings,4,system support,How to list enabled systemd services using systemctl,True,False
How do I check the version of Ubuntu I am running?,How can I check my current Ubuntu version through the command-line and GUI?,general usage,,general support,general usage,4,general support,User asks how to check Ubuntu version via command line and GUI,True,True
How to redirect stderr to a file,"While using nohup to put a command to run in background some of content appear in terminal.
cp: error reading ‘/mnt/tt/file.txt’: Input/output error
cp: failed to extend ‘/mnt/tt/file.txt’: Input/output error
I want to save that content to a file.",general usage,,general support,general usage,4,system support,Asking how to redirect stderr to a file when running a command with nohup; wants error output saved instead of appearing in the terminal,True,False
What is the difference between adduser and useradd?,"What is the difference between the commands
adduser
and
useradd
on Ubuntu?",user accounts,,system support,user accounts,4,system support,Asking difference between adduser and useradd on Ubuntu; question about user account management commands,True,True
"How do I fix the GPG error ""NO_PUBKEY""?","I added some extra repositories with the Software Sources program. But when I reload the package database, I get an error like the following:
W: GPG error:
http://ppa.launchpad.net
trusty InRelease: The following signatures couldn't be verified because the public key is not available: NO_PUBKEY 8BAF9A6F
I know I can fix it using
apt-key
in a terminal, according to the official Ubuntu documentation. But I would have liked to do it graphically. Is there a way to do this without using a terminal?",package management,,system support,package management,4,system support,Apt repository GPG NO_PUBKEY error after adding PPAs; user requests a graphical way to add the missing public key,True,True
Which one is better: using ; or && to execute multiple commands in one line?,"In tutorials and how-to's I often see commands combined. For instance,
sudo apt-get update && sudo apt-get install pyrenamer
There seem to be four possible connectors:
&
,
&&
,
||
and
;
. Though the
&
connector is clear to me (it sends a process to the background and leaves the terminal available), it is not clear what the difference is between
&&
and
;
. And I did not know of
||
until Kaya's comment.
The following questions deal with the difference between the two connectors, but do so mostly in the comments:
How to start two Ubuntu applications in one go?
How to combine multiple commands in terminal?
So here are a number of related questions:
What is the difference between
;
and
&&
?
When should you use them
respectively? It would be nice to see some use cases: if I want to run a command and then after it shutdown my computer, which connector should I choose?
What are their
advantages
and
dangers
?
Robie Basak
mentions in a comment to
this answer
that a command like
cd /somewhere_else; rm -Rf *
can have destructive consequences if the first element in the command chain fails, for instance.
If relevant, where do they come from?",general usage,,general support,general usage,4,general support,Asking about differences between ; && and || with examples use cases and risks,True,True
Why crontab scripts are not working?,"Often,
crontab
scripts are not executed on schedule or as expected. There are numerous reasons for that:
wrong crontab notation
permissions problem
environment variables
This community wiki aims to aggregate the top reasons for
crontab
scripts not being executed as expected. Write each reason in a separate answer.
Please include one reason per answer - details about why it's not executed - and fix(es) for that one reason.
Please write only cron-specific issues, e.g. commands that execute as expected from the shell but execute erroneously by cron.",system settings,,desktop support,system settings,4,system support,Cron jobs not executing due to wrong crontab notation; verify and correct schedule fields using crontab -e and a cron expression validator,True,False
How to show the transfer progress and speed when copying files with cp?,"Otherwise, is there any alternative command line utility that can achieve this?",general usage,,general support,general usage,4,general support,Request for showing copy progress and speed with cp and asking for alternative command line utilities such as rsync or pv,True,True
How to merge several PDF files?,There are a lot of software in Windows to merge PDF files but how can we do the same in Ubuntu?,general usage,,general support,general usage,4,desktop support,User asks how to merge multiple PDF files on Ubuntu; requests guidance on available tools and commands,True,False
How to install Google Chrome,How do you install Google Chrome on Ubuntu?,package management,,system support,package management,4,system support,User requests instructions to install Google Chrome on Ubuntu,True,True
How to let `dpkg -i` install dependencies for me?,"Say, I have
foo-1.2.3.deb
which depends on
perl
and
python
, however, running command:
dpkg -i ./foo-1.2.3.deb
won't install these dependencies. So I must
apt-get install perl python
by hand.
How to make
dpkg -i
install these dependencies for me automatically?",package management,,system support,package management,4,system support,dpkg does not resolve dependencies; use apt install ./foo-1.2.3.deb; or run dpkg -i then apt-get -f install; or use gdebi to fetch and install required packages,True,True
